fideid;name;title;country;rating;games;birthday;flag;date
1503014;Carlsen, Magnus;GM;NOR;2861;8;1990;"";2013-01-01
2020009;Caruana, Fabiano;GM;ITA;2781;11;1992;"";2013-01-01
8603677;Ding, Liren;GM;CHN;2709;4;1992;"";2013-01-01
24116068;Giri, Anish;GM;NED;2726;7;1994;"";2013-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;11;1985;"";2013-01-01
1503014;Carlsen, Magnus;GM;NOR;2872;13;1990;"";2013-02-01
2020009;Caruana, Fabiano;GM;ITA;2757;13;1992;"";2013-02-01
8603677;Ding, Liren;GM;CHN;2709;0;1992;"";2013-02-01
24116068;Giri, Anish;GM;NED;2722;13;1994;"";2013-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;0;1985;"";2013-02-01
1503014;Carlsen, Magnus;GM;NOR;2872;0;1990;"";2013-03-01
2020009;Caruana, Fabiano;GM;ITA;2760;10;1992;"";2013-03-01
8603677;Ding, Liren;GM;CHN;2707;10;1992;"";2013-03-01
24116068;Giri, Anish;GM;NED;2729;11;1994;"";2013-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;0;1985;"";2013-03-01
1503014;Carlsen, Magnus;GM;NOR;2872;0;1990;"";2013-04-01
2020009;Caruana, Fabiano;GM;ITA;2772;6;1992;"";2013-04-01
8603677;Ding, Liren;GM;CHN;2707;0;1992;"";2013-04-01
24116068;Giri, Anish;GM;NED;2727;3;1994;"";2013-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;0;1985;"";2013-04-01
1503014;Carlsen, Magnus;GM;NOR;2868;14;1990;"";2013-05-01
2020009;Caruana, Fabiano;GM;ITA;2774;18;1992;"";2013-05-01
8603677;Ding, Liren;GM;CHN;2707;0;1992;"";2013-05-01
24116068;Giri, Anish;GM;NED;2734;20;1994;"";2013-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2753;17;1985;"";2013-05-01
1503014;Carlsen, Magnus;GM;NOR;2864;9;1990;"";2013-06-01
2020009;Caruana, Fabiano;GM;ITA;2774;0;1992;"";2013-06-01
8603677;Ding, Liren;GM;CHN;2702;9;1992;"";2013-06-01
24116068;Giri, Anish;GM;NED;2734;0;1994;"";2013-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2753;0;1985;"";2013-06-01
1503014;Carlsen, Magnus;GM;NOR;2862;9;1990;"";2013-07-01
2020009;Caruana, Fabiano;GM;ITA;2796;20;1992;"";2013-07-01
8603677;Ding, Liren;GM;CHN;2714;9;1992;"";2013-07-01
24116068;Giri, Anish;GM;NED;2734;0;1994;"";2013-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2761;9;1985;"";2013-07-01
1503014;Carlsen, Magnus;GM;NOR;2862;0;1990;"";2013-08-01
2020009;Caruana, Fabiano;GM;ITA;2796;0;1992;"";2013-08-01
8603677;Ding, Liren;GM;CHN;2718;10;1992;"";2013-08-01
24116068;Giri, Anish;GM;NED;2737;11;1994;"";2013-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2775;11;1985;"";2013-08-01
1503014;Carlsen, Magnus;GM;NOR;2862;0;1990;"";2013-09-01
2020009;Caruana, Fabiano;GM;ITA;2779;9;1992;"";2013-09-01
8603677;Ding, Liren;GM;CHN;2722;10;1992;"";2013-09-01
24116068;Giri, Anish;GM;NED;2737;0;1994;"";2013-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2775;0;1985;"";2013-09-01
